j	n_j
684	57
685	57
686	52
687	57
688	44
689	58
690	57
691	50
692	41
693	41
694	38
695	48
696	30
697	36
698	33
699	41
700	41
701	39
702	42
703	43
704	34
705	43
706	38
707	44
708	45
709	44
710	34
711	36
712	55
713	29
714	50
715	38
716	37
717	37
718	43
719	47
720	35
721	47
722	50
723	48
724	37
725	49
726	37
727	47
728	36
729	34
730	40
731	42
732	41
733	44
734	41
735	33
736	32
737	40
738	33
739	47
740	24
741	31
742	40
743	34
744	48
745	29
746	37
747	27
748	28
749	27
750	24
751	28
752	34
753	30
754	30
755	25
756	12
757	24
758	12
759	17
760	16
761	12
762	27
763	19
764	23
765	20
766	27
767	23
768	21
769	12
770	23
771	20
772	19
773	11
774	20
775	16
776	22
777	19
778	18
779	11
780	18
781	14
782	11
783	20
784	12
785	13
786	15
787	10
788	13
789	11
790	12
791	17
792	16
793	11
794	10
795	15
796	17
797	17
798	14
799	10
800	18
801	16
802	9
803	8
804	12
805	7
806	12
807	6
808	12
809	10
810	7
811	13
812	8
813	8
814	7
815	9
816	12
817	11
818	10
819	11
820	7
821	10
822	10
823	9
824	12
825	5
826	5
827	10
828	17
829	9
830	8
831	9
832	10
833	9
834	9
835	14
836	10
837	8
838	8
839	9
840	17
841	9
842	14
843	13
844	12
845	11
846	11
847	12
848	11
849	10
850	8
851	11
852	9
853	12
854	6
855	11
856	9
857	9
858	11
859	9
860	13
861	7
862	10
863	8
864	8
865	6
866	6
867	10
868	5
869	8
870	8
871	6
872	3
873	9
874	7
875	6
876	8
877	7
878	6
879	11
880	6
881	8
882	4
883	5
884	2
885	6
886	11
887	9
888	5
889	4
890	6
891	5
892	7
893	7
894	7
895	7
896	5
897	10
898	10
899	8
900	12
901	4
902	15
903	5
904	7
905	12
906	10
907	11
908	6
909	6
910	7
911	3
912	9
913	9
914	10
915	11
916	9
917	8
918	12
919	6
920	11
921	9
922	10
923	9
924	10
925	6
926	3
927	8
928	7
929	8
930	5
931	6
932	6
933	14
934	8
935	9
936	11
937	3
938	3
939	5
940	6
941	8
942	5
943	4
944	6
945	3
946	3
947	2
948	4
949	7
950	4
951	3
952	5
953	4
954	4
955	7
956	2
957	5
958	4
959	2
960	6
961	8
962	1
963	6
964	3
965	3
966	1
967	3
968	2
969	6
970	4
971	3
972	4
973	7
974	1
975	7
976	5
977	10
978	3
979	6
980	8
981	7
982	7
983	4
984	3
985	4
986	4
987	7
988	2
989	3
990	3
991	4
992	2
993	6
994	6
995	5
996	9
997	9
998	4
999	3
1001	3
1002	4
1003	3
1004	6
1005	5
1006	2
1007	6
1008	5
1009	4
1010	3
1011	5
1013	2
1014	1
1015	2
1016	4
1017	7
1018	4
1019	4
1020	5
1021	2
1022	2
1023	5
1024	5
1025	2
1026	2
1027	3
1028	2
1029	1
1030	3
1031	3
1032	3
1033	3
1034	4
1035	2
1036	2
1037	1
1038	1
1039	7
1040	1
1041	2
1042	4
1043	4
1044	3
1045	1
1046	7
1047	3
1048	3
1049	3
1050	5
1051	5
1052	2
1053	1
1054	7
1055	4
1056	5
1057	3
1058	2
1059	6
1060	3
1061	2
1062	3
1063	2
1064	3
1065	3
1066	2
1067	5
1068	4
1069	3
1070	4
1071	3
1072	5
1073	2
1074	5
1075	3
1076	3
1077	3
1078	5
1079	3
1080	2
1081	3
1082	5
1083	2
1085	6
1086	5
1087	1
1088	3
1089	5
1090	6
1091	3
1092	1
1093	2
1094	8
1095	2
1096	6
1097	2
1098	3
1099	8
1100	6
1101	2
1102	2
1103	2
1104	5
1105	2
1106	3
1107	2
1108	1
1110	1
1111	1
1112	5
1113	4
1114	4
1115	3
1116	3
1117	2
1118	5
1119	5
1121	4
1122	2
1123	3
1124	2
1125	5
1126	4
1127	2
1128	6
1129	3
1130	3
1131	5
1132	2
1133	4
1134	1
1135	2
1136	3
1137	6
1138	1
1139	6
1140	4
1141	5
1142	6
1143	3
1145	3
1146	4
1147	6
1148	4
1149	6
1150	2
1151	3
1152	3
1153	4
1154	4
1155	2
1156	3
1157	2
1158	2
1159	4
1160	3
1161	6
1162	2
1163	3
1164	5
1165	2
1166	4
1167	2
1168	1
1169	7
1170	4
1171	3
1172	3
1173	5
1174	2
1175	4
1176	1
1177	4
1178	5
1179	3
1180	1
1181	2
1182	3
1183	1
1184	4
1185	4
1186	2
1187	4
1188	5
1189	1
1190	2
1191	2
1192	4
1193	6
1194	3
1195	5
1196	1
1197	1
1198	2
1199	2
1200	4
1201	4
1203	2
1204	2
1205	3
1206	6
1207	3
1208	1
1209	1
1210	3
1211	5
1212	1
1213	2
1215	6
1216	4
1217	3
1218	4
1220	1
1221	5
1222	4
1223	3
1224	1
1225	3
1226	2
1228	3
1229	4
1230	4
1231	3
1232	2
1233	1
1234	2
1235	2
1236	2
1237	3
1238	2
1240	2
1241	3
1242	2
1243	2
1244	3
1245	2
1246	3
1247	2
1248	6
1250	1
1251	2
1252	4
1253	1
1254	2
1255	3
1256	3
1257	1
1258	2
1259	2
1260	3
1261	3
1262	1
1263	5
1265	1
1266	5
1268	3
1269	5
1270	1
1271	2
1272	1
1273	3
1274	3
1275	2
1276	1
1278	1
1279	1
1280	1
1281	1
1282	3
1283	1
1284	1
1285	1
1286	3
1287	4
1290	4
1291	3
1293	1
1295	1
1297	1
1298	3
1299	1
1300	1
1301	1
1302	5
1303	4
1304	2
1305	6
1306	4
1307	1
1308	2
1309	2
1311	2
1312	1
1313	4
1314	2
1315	3
1316	2
1317	1
1318	5
1320	3
1321	1
1323	1
1324	1
1326	2
1327	1
1328	3
1329	1
1330	5
1331	3
1333	5
1334	1
1335	2
1336	2
1337	2
1338	1
